Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,90.1,-83.62,90.0,top
C10,100n,C_0402_1005Metric,86.48,-91.77,180.0,top
C11,100n,C_0402_1005Metric,168.92,-76.0,180.0,top
C12,100n,C_0402_1005Metric,99.0,-112.25,0.0,top
C13,100n,C_0603_1608Metric,92.5,-114.75,90.0,top
C14,10u,C_0603_1608Metric,94.25,-114.75,90.0,top
C15,22u,C_1206_3216Metric,94.0,-108.0,0.0,top
C16,22u,C_1206_3216Metric,94.0,-110.5,0.0,top
C17,100n,C_0402_1005Metric,155.0,-106.272416,-90.0,top
C18,56p,C_0603_1608Metric,106.2875,-114.75,90.0,top
C19,100n,C_0402_1005Metric,172.905004,-106.272416,90.0,top
C2,100n,C_0402_1005Metric,116.0,-113.1075,-90.0,top
C3,100n,C_0402_1005Metric,116.0,-116.5875,90.0,top
C4,100n,C_0402_1005Metric,127.0,-113.6075,-90.0,top
C5,100n,C_0402_1005Metric,137.9,-116.62,90.0,top
C6,100n,C_0402_1005Metric,127.0,-116.6075,90.0,top
C7,100n,C_0402_1005Metric,138.0,-113.0675,-90.0,top
C8,1u,C_0603_1608Metric,78.525,-83.52,180.0,top
C9,100n,C_0402_1005Metric,87.0,-95.52,90.0,top
J1,I2C Display,PinSocket_1x04_P2.54mm_Vertical,123.48,-98.75,-90.0,top
J2,ESP Serial,PinHeader_1x04_P2.54mm_Vertical,138.27,-100.0,-90.0,top
J3,GPIO,PinHeader_1x14_P2.54mm_Vertical,132.19,-77.5,90.0,top
J4,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,79.25,-113.75,0.0,top
L1,GZ2012D101TF,L0805,90.966218,-122.5,0.0,top
L2,15uH,IND-SMD_L7.1-W6.6_SLO0618H,88.0,-111.950025,90.0,top
LED1,0603White_light_C2290,LED0603-R-RD_WHITE,83.199898,-77.0,0.0,top
LED2,0603White_light_C2290,LED0603-R-RD_WHITE,83.300102,-80.0,0.0,top
R1,0Ohm,R_0805_2012Metric,125.25,-101.75,0.0,top
R10,0Ohm,R_0805_2012Metric,132.75,-108.75,-90.0,top
R11,0Ohm,R_0805_2012Metric,133.0,-122.0875,-90.0,top
R12,1k,R_0603_1608Metric,86.5,-80.0,0.0,top
R13,10k,C_0805_2012Metric,85.25,-83.52,180.0,top
R14,0Ohm,R_0805_2012Metric,124.5,-108.5875,-90.0,top
R15,0Ohm,R_0805_2012Metric,124.5,-122.0875,-90.0,top
R16,0Ohm,R_0805_2012Metric,122.0,-108.5875,-90.0,top
R17,0Ohm,R_0805_2012Metric,122.0,-122.0875,-90.0,top
R18,0Ohm,R_0805_2012Metric,148.8375,-80.65,0.0,top
R19,0Ohm,R_0805_2012Metric,148.8375,-82.85,0.0,top
R2,0Ohm,R_0805_2012Metric,116.25,-99.8375,-90.0,top
R20,0Ohm,R_0805_2012Metric,148.8375,-85.05,0.0,top
R21,0Ohm,R_0805_2012Metric,148.8375,-87.25,0.0,top
R22,5.1k,R_0805_2012Metric,96.5875,-128.3,0.0,top
R23,5.1k,R_0805_2012Metric,96.5875,-131.25,0.0,top
R24,10k,R_0805_2012Metric,163.2,-108.1875,-90.0,top
